unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1644364800000,2022-02-09 00:00:00,LINK/USDT,18.38000000,18.75000000,17.75000000,18.67000000,3742482.70000000,68516797.83100000,114150
1644278400000,2022-02-08 00:00:00,LINK/USDT,18.89000000,19.54000000,17.72000000,18.38000000,6603587.99000000,121935156.56980000,227706
1644192000000,2022-02-07 00:00:00,LINK/USDT,18.06000000,19.40000000,17.65000000,18.88000000,6242937.28000000,117087736.98660000,253129
1644105600000,2022-02-06 00:00:00,LINK/USDT,17.75000000,18.17000000,17.17000000,18.07000000,3114467.57000000,55233444.79250000,112194
1644019200000,2022-02-05 00:00:00,LINK/USDT,17.50000000,18.32000000,17.42000000,17.76000000,5007027.59000000,89508285.25410000,178681
1643932800000,2022-02-04 00:00:00,LINK/USDT,16.31000000,17.55000000,16.00000000,17.50000000,5829149.36000000,97039293.20280000,169564
1643846400000,2022-02-03 00:00:00,LINK/USDT,15.78000000,16.33000000,15.26000000,16.30000000,5327213.34000000,84010991.62840000,144147
1643760000000,2022-02-02 00:00:00,LINK/USDT,16.98000000,17.38000000,15.56000000,15.78000000,4741039.26000000,78422000.44340000,160932
1643673600000,2022-02-01 00:00:00,LINK/USDT,17.15000000,17.91000000,16.80000000,16.98000000,5923564.60000000,102234729.43590000,181536
1643587200000,2022-01-31 00:00:00,LINK/USDT,17.76000000,17.88000000,16.45000000,17.15000000,7695443.58000000,131452085.63350000,223430
1643500800000,2022-01-30 00:00:00,LINK/USDT,16.23000000,18.10000000,16.01000000,17.77000000,7593446.41000000,131395815.46360000,294084
1643414400000,2022-01-29 00:00:00,LINK/USDT,16.14000000,16.75000000,15.96000000,16.23000000,3920458.64000000,64038684.77020000,134889
1643328000000,2022-01-28 00:00:00,LINK/USDT,15.22000000,16.28000000,14.74000000,16.15000000,6246161.02000000,96104908.21900000,180736
1643241600000,2022-01-27 00:00:00,LINK/USDT,15.23000000,15.71000000,14.29000000,15.22000000,8536301.47000000,127973205.90050000,212818
1643155200000,2022-01-26 00:00:00,LINK/USDT,15.50000000,16.80000000,14.68000000,15.23000000,9794747.00000000,155159933.36950000,298897
1643068800000,2022-01-25 00:00:00,LINK/USDT,15.58000000,16.03000000,14.59000000,15.49000000,7694012.53000000,117703286.30200000,216178
1642982400000,2022-01-24 00:00:00,LINK/USDT,16.63000000,16.65000000,13.48000000,15.58000000,14743580.99900000,216929048.32175300,403806
1642896000000,2022-01-23 00:00:00,LINK/USDT,15.86000000,16.88000000,15.15000000,16.64000000,9533639.18000000,152413055.60840000,255366
1642809600000,2022-01-22 00:00:00,LINK/USDT,17.41000000,17.82000000,14.24000000,15.85000000,18934134.95300000,299956002.60002700,516129
1642723200000,2022-01-21 00:00:00,LINK/USDT,20.18000000,20.51000000,17.10000000,17.42000000,14621190.27000000,275442573.22190000,462961
1642636800000,2022-01-20 00:00:00,LINK/USDT,21.54000000,22.98000000,20.04000000,20.17000000,5603272.17000000,121967570.95760000,217345
1642550400000,2022-01-19 00:00:00,LINK/USDT,22.96000000,23.15000000,21.22000000,21.55000000,5688676.47000000,125193459.92240000,196499
1642464000000,2022-01-18 00:00:00,LINK/USDT,23.79000000,24.34000000,22.04000000,22.96000000,4910863.58000000,113153055.27590000,205554
1642377600000,2022-01-17 00:00:00,LINK/USDT,25.51000000,25.62000000,23.27000000,23.79000000,4471877.32000000,109015495.32300000,210698
1642291200000,2022-01-16 00:00:00,LINK/USDT,25.17000000,26.34000000,24.65000000,25.50000000,4415951.38000000,113329790.28810000,210237
1642204800000,2022-01-15 00:00:00,LINK/USDT,25.72000000,26.22000000,25.11000000,25.17000000,4141482.21000000,106235389.38420000,197270
1642118400000,2022-01-14 00:00:00,LINK/USDT,24.86000000,25.89000000,23.91000000,25.72000000,6488595.95000000,160797497.42950000,256847
1642032000000,2022-01-13 00:00:00,LINK/USDT,26.76000000,26.76000000,24.43000000,24.86000000,7890385.69000000,202251622.03030000,302406
1641945600000,2022-01-12 00:00:00,LINK/USDT,26.60000000,27.25000000,25.61000000,26.75000000,10319762.43000000,273364207.63940000,382680
1641859200000,2022-01-11 00:00:00,LINK/USDT,27.98000000,28.71000000,25.84000000,26.59000000,13498246.97000000,365234104.83240000,593405
1641772800000,2022-01-10 00:00:00,LINK/USDT,27.54000000,28.51000000,25.07000000,27.98000000,18516507.58000000,500988361.45770000,799653
1641686400000,2022-01-09 00:00:00,LINK/USDT,25.31000000,28.68000000,25.08000000,27.54000000,18630446.63000000,506801131.99380000,945787
1641600000000,2022-01-08 00:00:00,LINK/USDT,25.98000000,27.33000000,23.51000000,25.32000000,15635153.07000000,399127842.19830000,731327
1641513600000,2022-01-07 00:00:00,LINK/USDT,25.39000000,27.33000000,22.65000000,25.98000000,22033325.64000000,551175663.00470000,1076986
1641427200000,2022-01-06 00:00:00,LINK/USDT,25.24000000,25.98000000,23.34000000,25.38000000,17086946.69000000,417934611.10430000,678729
