unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1647043200000,2022-03-12 00:00:00,STX/USDT,1.35500000,1.41200000,1.30200000,1.32400000,7335222.60000000,9902139.08350000,34822
1646956800000,2022-03-11 00:00:00,STX/USDT,1.49700000,1.63700000,1.33100000,1.35500000,48880832.80000000,70921310.20920000,261314
1646870400000,2022-03-10 00:00:00,STX/USDT,1.12300000,1.94000000,1.05600000,1.49900000,64648606.50000000,100033775.15980000,382742
1646784000000,2022-03-09 00:00:00,STX/USDT,1.06000000,1.17400000,1.05900000,1.12400000,2510742.80000000,2813252.11620000,13361
1646697600000,2022-03-08 00:00:00,STX/USDT,1.04800000,1.07600000,1.04100000,1.05900000,1648157.20000000,1745052.41480000,11720
1646611200000,2022-03-07 00:00:00,STX/USDT,1.07600000,1.09600000,1.03400000,1.04700000,2117950.00000000,2247292.69230000,11257
1646524800000,2022-03-06 00:00:00,STX/USDT,1.13200000,1.13800000,1.06500000,1.07600000,1937183.20000000,2121309.06040000,9923
1646438400000,2022-03-05 00:00:00,STX/USDT,1.11100000,1.14200000,1.08900000,1.13200000,1414577.70000000,1578824.76910000,8386
1646352000000,2022-03-04 00:00:00,STX/USDT,1.20000000,1.20200000,1.09800000,1.11100000,1981026.70000000,2272016.53450000,13234
1646265600000,2022-03-03 00:00:00,STX/USDT,1.23700000,1.26300000,1.18100000,1.20100000,2040697.80000000,2484820.22720000,11198
1646179200000,2022-03-02 00:00:00,STX/USDT,1.28200000,1.28500000,1.21400000,1.23700000,2732643.00000000,3408750.06890000,16550
1646092800000,2022-03-01 00:00:00,STX/USDT,1.24800000,1.29300000,1.21800000,1.28100000,2652926.20000000,3312391.42980000,16101
1646006400000,2022-02-28 00:00:00,STX/USDT,1.11800000,1.26400000,1.09400000,1.24600000,3078493.70000000,3627417.73640000,17030
1645920000000,2022-02-27 00:00:00,STX/USDT,1.18500000,1.19800000,1.11200000,1.11700000,2224720.50000000,2575547.14140000,11967
1645833600000,2022-02-26 00:00:00,STX/USDT,1.15900000,1.21200000,1.15400000,1.18500000,2165961.00000000,2551553.87170000,11160
1645747200000,2022-02-25 00:00:00,STX/USDT,1.11400000,1.17500000,1.10800000,1.15900000,2508807.20000000,2855840.43890000,15013
1645660800000,2022-02-24 00:00:00,STX/USDT,1.13600000,1.15200000,0.97300000,1.11400000,5230001.30000000,5473580.08658000,26761
1645574400000,2022-02-23 00:00:00,STX/USDT,1.16300000,1.27600000,1.13500000,1.13600000,2485149.90000000,2964769.02870000,14558
1645488000000,2022-02-22 00:00:00,STX/USDT,1.11300000,1.16200000,1.04600000,1.16200000,3318312.80000000,3623529.17220000,17084
1645401600000,2022-02-21 00:00:00,STX/USDT,1.22900000,1.28100000,1.10600000,1.11000000,3098255.10000000,3738995.00700000,18069
1645315200000,2022-02-20 00:00:00,STX/USDT,1.31500000,1.31800000,1.20700000,1.23000000,1693790.50000000,2108537.79190000,9502
1645228800000,2022-02-19 00:00:00,STX/USDT,1.33800000,1.34800000,1.26900000,1.31500000,1237805.50000000,1620361.24480000,7586
1645142400000,2022-02-18 00:00:00,STX/USDT,1.39100000,1.42300000,1.31400000,1.33600000,1901972.10000000,2601285.74770000,13431
1645056000000,2022-02-17 00:00:00,STX/USDT,1.54800000,1.55600000,1.38300000,1.39100000,2632463.00000000,3859357.80280000,13193
